neg,neu,pos,compound,sentiment
0.006,0.861,0.133,0.981,Positive
0.062,0.816,0.122,0.9339,Positive
0.0,0.738,0.262,0.9315,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.746,0.254,0.9811,Positive
0.0,0.892,0.108,0.6597,Positive
0.012,0.852,0.135,0.989,Positive
0.0,0.938,0.062,0.6369,Positive
0.0,0.74,0.26,0.9863,Positive
0.044,0.71,0.246,0.995,Positive
0.0,0.834,0.166,0.9758,Positive
0.027,0.838,0.135,0.6705,Positive
0.014,0.811,0.174,0.9393,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.952,0.048,0.7133,Positive
0.0,0.777,0.223,0.5574,Positive
0.013,0.736,0.251,0.9963,Positive
0.0,1.0,0.0,0.0,Neutral
0.052,0.599,0.349,0.9601,Positive
0.0,0.765,0.235,0.8225,Positive
0.0,0.902,0.098,0.0516,Positive
0.0,1.0,0.0,0.0,Neutral
0.022,0.843,0.135,0.9814,Positive
0.0,0.811,0.189,0.9866,Positive
0.0,0.829,0.171,0.9821,Positive
0.03,0.927,0.043,0.4466,Positive
0.0,0.949,0.051,0.5267,Positive
0.032,0.895,0.072,0.8902,Positive
0.0,0.916,0.084,0.8271,Positive
0.055,0.747,0.199,0.9686,Positive
0.0,0.906,0.094,0.6369,Positive
0.0,1.0,0.0,0.0,Neutral
0.019,0.825,0.156,0.9413,Positive
0.064,0.751,0.185,0.6369,Positive
0.0,0.967,0.033,0.6597,Positive
0.0,1.0,0.0,0.0,Neutral
0.035,0.793,0.171,0.9875,Positive
0.037,0.763,0.2,0.993,Positive
0.0,0.814,0.186,0.795,Positive
0.0,0.824,0.176,0.4939,Positive
0.0,0.923,0.077,0.4404,Positive
0.027,0.818,0.155,0.9863,Positive
0.0,0.517,0.483,0.9756,Positive
0.0,0.776,0.224,0.8605,Positive
0.412,0.588,0.0,-0.5423,Negative
0.0,0.897,0.103,0.8807,Positive
0.0,1.0,0.0,0.0,Neutral
0.01,0.84,0.151,0.9833,Positive
0.0,0.898,0.102,0.34,Positive
0.0,0.708,0.292,0.5106,Positive
0.0,0.952,0.048,0.8934,Positive
0.0,0.975,0.025,0.4588,Positive
0.0,0.767,0.233,0.9079,Positive
0.017,0.739,0.243,0.9789,Positive
0.0,0.863,0.137,0.9451,Positive
0.0,1.0,0.0,0.0,Neutral
0.04,0.773,0.188,0.9524,Positive
0.028,0.855,0.117,0.7579,Positive
0.0,0.737,0.263,0.3612,Positive
0.057,0.88,0.062,0.1531,Positive
0.008,0.795,0.197,0.9891,Positive
0.068,0.815,0.117,0.4506,Positive
0.0,0.714,0.286,0.9277,Positive
0.0,0.941,0.059,0.4215,Positive
0.0,0.683,0.317,0.969,Positive
0.0,0.756,0.244,0.9379,Positive
0.036,0.801,0.164,0.9998,Positive
0.0,0.902,0.098,0.8074,Positive
0.0,0.714,0.286,0.296,Positive
0.0,0.906,0.094,0.3612,Positive
0.089,0.911,0.0,-0.6369,Negative
0.0,0.802,0.198,0.9804,Positive
0.015,0.745,0.239,0.99,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.922,0.078,0.8591,Positive
0.051,0.949,0.0,-0.2023,Negative
0.0,0.68,0.32,0.9875,Positive
0.024,0.815,0.161,0.9895,Positive
0.009,0.954,0.036,0.6705,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.871,0.129,0.5707,Positive
0.0,0.738,0.262,0.9217,Positive
0.016,0.831,0.153,0.9926,Positive
0.044,0.805,0.151,0.7845,Positive
0.216,0.625,0.159,-0.0516,Negative
0.019,0.812,0.169,0.9423,Positive
0.054,0.88,0.066,0.3612,Positive
0.011,0.847,0.142,0.9719,Positive
0.0,0.793,0.207,0.9468,Positive
0.0,0.914,0.086,0.6124,Positive
0.0,0.734,0.266,0.9616,Positive
0.021,0.796,0.182,0.9863,Positive
0.015,0.899,0.086,0.9738,Positive
0.0,0.727,0.273,0.9669,Positive
0.0,0.84,0.16,0.8126,Positive
0.045,0.696,0.259,0.9217,Positive
0.0,0.835,0.165,0.836,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.904,0.096,0.8858,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.755,0.245,0.9949,Positive
0.108,0.775,0.117,0.0516,Positive
0.0,0.625,0.375,0.8555,Positive
0.0,0.765,0.235,0.9681,Positive
0.0,0.958,0.042,0.4754,Positive
0.077,0.798,0.125,0.2263,Positive
0.012,0.825,0.163,0.9917,Positive
0.084,0.668,0.249,0.9969,Positive
0.0,0.793,0.207,0.7778,Positive
0.029,0.876,0.096,0.9352,Positive
0.0,0.803,0.197,0.8519,Positive
0.05,0.794,0.156,0.5719,Positive
0.0,1.0,0.0,0.0,Neutral
0.038,0.777,0.186,0.8807,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.915,0.085,0.8442,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.785,0.215,0.8807,Positive
0.043,0.835,0.122,0.9895,Positive
0.0,0.848,0.152,0.9833,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.751,0.249,0.9578,Positive
0.009,0.917,0.074,0.9304,Positive
0.04,0.81,0.15,0.9588,Positive
0.018,0.758,0.224,0.9943,Positive
0.0,0.972,0.028,0.4404,Positive
0.0,0.892,0.108,0.5563,Positive
0.054,0.814,0.131,0.8995,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.876,0.124,0.34,Positive
0.012,0.855,0.133,0.9853,Positive
0.032,0.804,0.164,0.9695,Positive
0.059,0.891,0.05,-0.128,Negative
0.0,0.73,0.27,0.743,Positive
0.0,0.829,0.171,0.9747,Positive
0.092,0.761,0.148,0.4905,Positive
0.056,0.838,0.105,0.8473,Positive
0.0,0.694,0.306,0.5473,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.695,0.305,0.995,Positive
0.0,0.951,0.049,0.2732,Positive
0.011,0.872,0.117,0.9153,Positive
0.0,0.717,0.283,0.9889,Positive
0.027,0.795,0.178,0.9081,Positive
0.017,0.808,0.175,0.9629,Positive
0.019,0.921,0.06,0.6997,Positive
0.0,0.732,0.268,0.5106,Positive
0.0,0.934,0.066,0.296,Positive
0.036,0.833,0.131,0.7512,Positive
0.0,0.668,0.332,0.9657,Positive
0.0,0.911,0.089,0.8473,Positive
0.038,0.684,0.278,0.8807,Positive
0.0,0.905,0.095,0.6369,Positive
0.031,0.926,0.044,0.6749,Positive
