neg,neu,pos,compound,sentiment
0.0,0.673,0.327,0.5948,Positive
0.0,0.937,0.063,0.3071,Positive
0.0,0.873,0.127,0.9955,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.706,0.294,0.6124,Positive
0.035,0.821,0.144,0.9329,Positive
0.0,0.721,0.279,0.9702,Positive
0.0,0.877,0.123,0.8879,Positive
0.0,0.856,0.144,0.8979,Positive
0.134,0.59,0.276,0.8591,Positive
0.058,0.889,0.053,-0.1184,Negative
0.209,0.647,0.144,-0.6908,Negative
0.042,0.813,0.146,0.8481,Positive
0.0,0.796,0.204,0.9061,Positive
0.011,0.92,0.069,0.9059,Positive
0.0,1.0,0.0,0.0,Neutral
0.077,0.836,0.088,0.2732,Positive
0.03,0.73,0.24,0.988,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.881,0.119,0.5574,Positive
0.016,0.808,0.176,0.9905,Positive
0.0,0.641,0.359,0.4215,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.73,0.27,0.4019,Positive
0.0,0.75,0.25,0.9562,Positive
0.02,0.81,0.17,0.9945,Positive
0.026,0.742,0.232,0.9988,Positive
0.0,1.0,0.0,0.0,Neutral
0.011,0.848,0.141,0.9719,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.797,0.203,0.9571,Positive
0.038,0.845,0.117,0.8547,Positive
0.0,0.817,0.183,0.8807,Positive
0.006,0.77,0.224,0.9938,Positive
0.0,0.95,0.05,0.8772,Positive
0.0,0.89,0.11,0.8113,Positive
0.016,0.844,0.14,0.9835,Positive
0.0,0.9,0.1,0.7964,Positive
0.0,0.787,0.213,0.9712,Positive
0.011,0.817,0.172,0.9816,Positive
0.0,1.0,0.0,0.0,Neutral
0.015,0.86,0.124,0.9959,Positive
0.0,0.717,0.283,0.9578,Positive
0.0,0.914,0.086,0.5423,Positive
0.0,0.854,0.146,0.9442,Positive
0.0,0.856,0.144,0.7845,Positive
0.038,0.825,0.137,0.7351,Positive
0.0,0.825,0.175,0.9413,Positive
0.022,0.884,0.094,0.6908,Positive
0.017,0.912,0.07,0.9309,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.882,0.118,0.8126,Positive
0.0,0.854,0.146,0.4404,Positive
0.076,0.858,0.066,-0.3818,Negative
0.026,0.872,0.103,0.8126,Positive
0.0,0.865,0.135,0.7964,Positive
0.039,0.932,0.028,-0.4084,Negative
0.085,0.842,0.073,-0.3724,Negative
0.0,0.836,0.164,0.9074,Positive
0.036,0.771,0.193,0.8481,Positive
0.07,0.785,0.145,0.785,Positive
0.479,0.521,0.0,-0.5574,Negative
0.0,0.689,0.311,0.8176,Positive
0.016,0.929,0.055,0.5574,Positive
0.017,0.804,0.178,0.9682,Positive
0.032,0.832,0.136,0.9618,Positive
0.012,0.796,0.192,0.9968,Positive
0.0,0.714,0.286,0.5859,Positive
0.0,0.833,0.167,0.9821,Positive
0.062,0.773,0.165,0.9472,Positive
0.0,0.927,0.073,0.5719,Positive
0.066,0.577,0.358,0.9287,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.033,0.807,0.16,0.9538,Positive
0.009,0.848,0.144,0.9902,Positive
0.036,0.809,0.155,0.9843,Positive
0.0,0.782,0.218,0.9817,Positive
0.016,0.704,0.279,0.9909,Positive
0.0,0.874,0.126,0.3182,Positive
0.046,0.849,0.105,0.7073,Positive
0.0,0.891,0.109,0.6808,Positive
0.012,0.917,0.071,0.875,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.031,0.771,0.198,0.9959,Positive
0.0,0.806,0.194,0.9464,Positive
0.028,0.846,0.126,0.8313,Positive
0.051,0.835,0.114,0.9878,Positive
0.0,0.952,0.048,0.2263,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.777,0.223,0.872,Positive
0.0,0.714,0.286,0.9371,Positive
0.151,0.757,0.091,-0.4767,Negative
0.011,0.898,0.091,0.9337,Positive
0.0,0.895,0.105,0.9476,Positive
0.0,1.0,0.0,0.0,Neutral
0.036,0.897,0.067,0.296,Positive
0.0,0.672,0.328,0.9856,Positive
0.0,0.696,0.304,0.9678,Positive
0.381,0.354,0.265,-0.3182,Negative
0.0,1.0,0.0,0.0,Neutral
0.0,0.749,0.251,0.8658,Positive
0.0,0.819,0.181,0.8225,Positive
0.0,0.822,0.178,0.9612,Positive
0.028,0.82,0.152,0.8643,Positive
0.0,0.616,0.384,0.9287,Positive
0.0,0.846,0.154,0.7845,Positive
0.0,0.928,0.072,0.3612,Positive
0.0,0.723,0.277,0.5574,Positive
0.0,0.816,0.184,0.8591,Positive
0.0,0.917,0.083,0.2263,Positive
0.0,1.0,0.0,0.0,Neutral
0.027,0.818,0.155,0.7717,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.967,0.033,0.4927,Positive
0.032,0.943,0.025,-0.1531,Negative
0.0,0.807,0.193,0.9805,Positive
0.028,0.7,0.272,0.9881,Positive
0.0,0.588,0.412,0.6369,Positive
0.0,0.835,0.165,0.8658,Positive
0.0,0.847,0.153,0.6705,Positive
0.0,0.821,0.179,0.7096,Positive
0.062,0.782,0.155,0.9958,Positive
0.0,0.848,0.152,0.9833,Positive
0.0,0.935,0.065,0.6249,Positive
0.0,0.831,0.169,0.9648,Positive
0.025,0.877,0.098,0.8558,Positive
0.0,0.9,0.1,0.8555,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.901,0.099,0.6705,Positive
0.082,0.795,0.124,0.4404,Positive
0.0,0.833,0.167,0.7351,Positive
0.014,0.867,0.12,0.945,Positive
0.007,0.894,0.098,0.9638,Positive
0.0,0.982,0.018,0.2263,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.923,0.077,0.4588,Positive
0.011,0.878,0.111,0.9816,Positive
0.0,0.848,0.152,0.9442,Positive
0.0,0.764,0.236,0.7579,Positive
0.0,0.892,0.108,0.7269,Positive
0.0,0.885,0.115,0.296,Positive
0.2,0.566,0.233,0.1197,Positive
0.034,0.784,0.183,0.993,Positive
0.101,0.812,0.087,-0.2023,Negative
0.0,0.785,0.215,0.9798,Positive
0.005,0.879,0.116,0.9746,Positive
0.0,0.7,0.3,0.4588,Positive
0.0,0.951,0.049,0.6486,Positive
0.0,0.89,0.11,0.7506,Positive
0.0,1.0,0.0,0.0,Neutral
0.007,0.804,0.189,0.9913,Positive
0.0,0.667,0.333,0.3612,Positive
0.06,0.907,0.033,-0.25,Negative
0.012,0.907,0.082,0.8915,Positive
0.119,0.714,0.167,0.1531,Positive
0.0,1.0,0.0,0.0,Neutral
0.015,0.89,0.096,0.9001,Positive
0.0,0.752,0.248,0.9882,Positive
0.0,0.87,0.13,0.34,Positive
0.0,0.743,0.257,0.9899,Positive
0.0,0.881,0.119,0.9732,Positive
0.031,0.856,0.113,0.9717,Positive
0.0,0.796,0.204,0.9816,Positive
0.008,0.86,0.132,0.9836,Positive
0.068,0.773,0.16,0.959,Positive
0.0,0.892,0.108,0.836,Positive
0.0,0.824,0.176,0.9524,Positive
0.0,0.809,0.191,0.9726,Positive
0.0,0.8,0.2,0.9537,Positive
0.012,0.8,0.188,0.9773,Positive
0.0,0.865,0.135,0.8402,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.683,0.317,0.8786,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.783,0.217,0.9595,Positive
0.019,0.803,0.178,0.9896,Positive
0.032,0.829,0.139,0.9321,Positive
0.0,1.0,0.0,0.0,Neutral
0.161,0.742,0.097,-0.4767,Negative
0.011,0.85,0.138,0.9705,Positive
0.057,0.85,0.093,0.6369,Positive
0.0,0.961,0.039,0.4767,Positive
0.013,0.888,0.099,0.9349,Positive
0.0,0.819,0.181,0.8225,Positive
0.057,0.862,0.081,0.044,Neutral
0.016,0.785,0.199,0.9911,Positive
0.018,0.86,0.122,0.9844,Positive
0.0,0.868,0.132,0.8349,Positive
0.0,0.816,0.184,0.9056,Positive
0.0,0.818,0.182,0.7841,Positive
0.0,0.577,0.423,0.875,Positive
0.0,0.818,0.182,0.9001,Positive
0.049,0.951,0.0,-0.1027,Negative
0.0,0.727,0.273,0.7841,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.81,0.19,0.9686,Positive
0.0,0.705,0.295,0.9737,Positive
0.0,0.94,0.06,0.6369,Positive
0.0,0.818,0.182,0.9723,Positive
0.012,0.857,0.132,0.9678,Positive
0.003,0.826,0.171,0.9999,Positive
0.024,0.806,0.17,0.9933,Positive
0.064,0.867,0.069,0.1027,Positive
0.027,0.785,0.188,0.9623,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.744,0.256,0.9382,Positive
0.0,0.875,0.125,0.8656,Positive
0.0,0.87,0.13,0.9118,Positive
0.082,0.647,0.272,0.9704,Positive
0.0,0.662,0.338,0.9719,Positive
0.009,0.782,0.209,0.9876,Positive
0.0,0.818,0.182,0.9723,Positive
0.0,0.815,0.185,0.9442,Positive
0.018,0.889,0.093,0.9775,Positive
0.0,0.779,0.221,0.9445,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.015,0.773,0.213,0.9963,Positive
0.0,0.933,0.067,0.3182,Positive
0.0,0.944,0.056,0.4215,Positive
0.0,0.85,0.15,0.9581,Positive
0.0,0.714,0.286,0.9871,Positive
0.0,0.844,0.156,0.7906,Positive
0.026,0.729,0.245,0.9864,Positive
0.0,0.84,0.16,0.2732,Positive
0.0,0.887,0.113,0.8519,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.882,0.118,0.7964,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.782,0.218,0.9729,Positive
0.056,0.798,0.146,0.9014,Positive
0.0,0.832,0.168,0.926,Positive
0.049,0.845,0.106,0.4981,Positive
0.0,0.885,0.115,0.936,Positive
0.0,0.809,0.191,0.9867,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.951,0.049,0.3182,Positive
0.0,0.699,0.301,0.9658,Positive
0.008,0.873,0.119,0.9741,Positive
0.004,0.922,0.074,0.9889,Positive
0.087,0.857,0.056,-0.3477,Negative
0.0,0.749,0.251,0.9657,Positive
0.06,0.868,0.072,0.4401,Positive
0.0,0.845,0.155,0.8271,Positive
0.013,0.791,0.196,0.9902,Positive
0.0,1.0,0.0,0.0,Neutral
0.096,0.788,0.116,0.1279,Positive
0.036,0.825,0.138,0.9412,Positive
0.0,0.847,0.153,0.2023,Positive
0.017,0.853,0.13,0.9147,Positive
0.007,0.847,0.146,0.9994,Positive
0.0,0.885,0.115,0.8585,Positive
0.0,0.951,0.049,0.2732,Positive
0.0,0.803,0.197,0.9401,Positive
0.0,0.754,0.246,0.8689,Positive
0.0,0.918,0.082,0.4939,Positive
0.0,0.871,0.129,0.7003,Positive
0.029,0.897,0.075,0.8356,Positive
0.061,0.811,0.128,0.9193,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.897,0.103,0.8555,Positive
0.105,0.742,0.153,0.4588,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.934,0.066,0.5859,Positive
0.05,0.897,0.053,0.4993,Positive
0.0,0.785,0.215,0.9493,Positive
0.0,0.808,0.192,0.9957,Positive
0.031,0.926,0.044,0.6749,Positive
0.0,0.906,0.094,0.8225,Positive
0.062,0.816,0.122,0.9339,Positive
0.016,0.808,0.176,0.9905,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.932,0.068,0.4404,Positive
0.034,0.845,0.121,0.9655,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.793,0.207,0.9854,Positive
0.0,0.574,0.426,0.8555,Positive
0.0,0.828,0.172,0.8402,Positive
0.0,0.792,0.208,0.9325,Positive
0.0,0.821,0.179,0.8555,Positive
0.0,1.0,0.0,0.0,Neutral
0.041,0.755,0.204,0.9538,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.757,0.243,0.6249,Positive
0.02,0.879,0.102,0.7506,Positive
0.0,0.955,0.045,0.5574,Positive
0.0,0.944,0.056,0.4404,Positive
0.0,0.891,0.109,0.7783,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.865,0.135,0.8402,Positive
0.0,0.575,0.425,0.9732,Positive
0.064,0.867,0.069,0.1027,Positive
0.014,0.891,0.095,0.8281,Positive
0.0,0.821,0.179,0.9442,Positive
0.0,1.0,0.0,0.0,Neutral
0.091,0.744,0.165,0.6369,Positive
0.0,0.903,0.097,0.4404,Positive
0.017,0.808,0.175,0.9819,Positive
0.005,0.879,0.116,0.975,Positive
0.0,0.858,0.142,0.7783,Positive
0.016,0.913,0.071,0.802,Positive
0.042,0.895,0.063,0.3818,Positive
0.012,0.976,0.012,0.2732,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.841,0.159,0.9895,Positive
0.0,0.96,0.04,0.0516,Positive
0.105,0.78,0.115,0.7003,Positive
0.047,0.741,0.212,0.9931,Positive
0.0,0.753,0.247,0.9562,Positive
0.0,0.785,0.215,0.8957,Positive
0.037,0.906,0.057,0.2732,Positive
0.0,0.682,0.318,0.9531,Positive
0.015,0.861,0.124,0.9337,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.809,0.191,0.4278,Positive
0.0,0.959,0.041,0.8689,Positive
0.0,0.845,0.155,0.8979,Positive
0.0,0.895,0.105,0.4019,Positive
0.0,0.942,0.058,0.4404,Positive
0.052,0.762,0.186,0.9965,Positive
0.0,0.745,0.255,0.4767,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.923,0.077,0.5994,Positive
0.008,0.899,0.093,0.9104,Positive
0.0,1.0,0.0,0.0,Neutral
0.05,0.763,0.187,0.984,Positive
0.009,0.86,0.131,0.9834,Positive
0.0,0.747,0.253,0.9042,Positive
0.0,0.732,0.268,0.5106,Positive
0.0,0.594,0.406,0.9842,Positive
0.0,0.949,0.051,0.5994,Positive
0.0,0.831,0.169,0.985,Positive
0.062,0.937,0.0,-0.296,Negative
0.0,0.93,0.07,0.7579,Positive
0.0,0.734,0.266,0.9853,Positive
0.026,0.691,0.282,0.9926,Positive
0.005,0.769,0.225,0.997,Positive
0.008,0.798,0.194,0.9942,Positive
0.0,0.84,0.16,0.9643,Positive
0.0,0.828,0.172,0.4404,Positive
0.487,0.513,0.0,-0.6908,Negative
0.0,0.913,0.087,0.2023,Positive
0.066,0.725,0.209,0.9877,Positive
0.0,1.0,0.0,0.0,Neutral
0.02,0.796,0.184,0.9868,Positive
0.037,0.848,0.115,0.5267,Positive
0.0,0.908,0.092,0.6249,Positive
0.05,0.734,0.216,0.936,Positive
0.0,0.822,0.178,0.9118,Positive
0.03,0.919,0.051,0.631,Positive
0.0,1.0,0.0,0.0,Neutral
0.034,0.929,0.038,0.1027,Positive
0.0,0.892,0.108,0.9231,Positive
0.0,0.801,0.199,0.8979,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.026,0.758,0.216,0.9949,Positive
0.0,0.971,0.029,0.4588,Positive
0.033,0.716,0.251,0.9274,Positive
0.0,0.811,0.189,0.9981,Positive
0.0,0.801,0.199,0.984,Positive
0.022,0.787,0.191,0.9712,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.85,0.15,0.873,Positive
0.0,0.679,0.321,0.8402,Positive
0.0,0.841,0.159,0.7579,Positive
0.042,0.664,0.294,0.91,Positive
0.016,0.761,0.223,0.9509,Positive
0.02,0.794,0.186,0.9953,Positive
0.0,0.969,0.031,0.2263,Positive
0.0,0.952,0.048,0.8934,Positive
0.0,0.96,0.04,0.6688,Positive
0.0,0.818,0.182,0.9723,Positive
0.0,0.745,0.255,0.9705,Positive
0.039,0.826,0.135,0.8481,Positive
0.034,0.786,0.181,0.8791,Positive
0.0,1.0,0.0,0.0,Neutral
0.054,0.863,0.083,0.5267,Positive
0.01,0.823,0.167,0.9828,Positive
0.0,0.829,0.171,0.9789,Positive
0.027,0.821,0.152,0.9638,Positive
0.051,0.705,0.244,0.9989,Positive
0.06,0.764,0.176,0.9231,Positive
0.0,0.764,0.236,0.922,Positive
0.0,1.0,0.0,0.0,Neutral
0.046,0.778,0.175,0.9735,Positive
0.0,0.877,0.123,0.9558,Positive
0.0,0.693,0.307,0.8481,Positive
0.039,0.859,0.101,0.9523,Positive
0.0,0.851,0.149,0.6361,Positive
0.027,0.883,0.09,0.9802,Positive
0.0,0.916,0.084,0.9737,Positive
0.017,0.771,0.211,0.9891,Positive
0.144,0.685,0.171,0.1027,Positive
0.048,0.857,0.095,0.886,Positive
0.0,0.893,0.107,0.9313,Positive
0.015,0.822,0.163,0.9936,Positive
0.041,0.774,0.185,0.9468,Positive
0.0,0.898,0.102,0.8519,Positive
0.0,0.94,0.06,0.7579,Positive
0.022,0.937,0.041,0.7096,Positive
0.0,1.0,0.0,0.0,Neutral
0.04,0.728,0.232,0.9868,Positive
0.0,0.873,0.127,0.4939,Positive
0.0,0.744,0.256,0.7906,Positive
0.018,0.919,0.063,0.7184,Positive
0.0,0.847,0.153,0.9836,Positive
0.037,0.743,0.22,0.9534,Positive
0.0,0.828,0.172,0.3612,Positive
0.012,0.856,0.132,0.9678,Positive
0.0,0.816,0.184,0.9153,Positive
0.0,0.827,0.173,0.9677,Positive
0.0,0.841,0.159,0.1779,Positive
0.0,0.809,0.191,0.886,Positive
0.034,0.876,0.09,0.9123,Positive
0.0,0.961,0.039,0.0772,Positive
0.029,0.744,0.227,0.9943,Positive
0.04,0.855,0.105,0.9022,Positive
0.0,0.843,0.157,0.9153,Positive
0.0,1.0,0.0,0.0,Neutral
0.028,0.873,0.099,0.8663,Positive
0.0,0.944,0.056,0.4404,Positive
0.0,0.673,0.327,0.9753,Positive
0.161,0.769,0.07,-0.4215,Negative
0.105,0.78,0.115,0.7003,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.882,0.118,0.7964,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.726,0.274,0.8481,Positive
0.0,0.909,0.091,0.6808,Positive
0.0,0.706,0.294,0.3612,Positive
0.0,0.897,0.103,0.9583,Positive
0.0,0.875,0.125,0.6124,Positive
0.0,0.84,0.16,0.9542,Positive
0.018,0.909,0.074,0.9531,Positive
0.0,0.738,0.262,0.8934,Positive
0.016,0.834,0.15,0.9711,Positive
0.0,0.831,0.169,0.875,Positive
0.0,0.916,0.084,0.9632,Positive
0.3,0.554,0.145,-0.4995,Negative
0.0,0.904,0.096,0.765,Positive
0.007,0.851,0.142,0.9738,Positive
0.0,0.747,0.253,0.9169,Positive
0.023,0.934,0.043,0.3612,Positive
0.022,0.884,0.094,0.7906,Positive
0.0,0.828,0.172,0.7964,Positive
0.0,0.92,0.08,0.802,Positive
0.0,0.832,0.168,0.9892,Positive
0.0,0.797,0.203,0.9803,Positive
0.061,0.833,0.106,0.8792,Positive
0.0,0.725,0.275,0.9853,Positive
0.0,0.897,0.103,0.8689,Positive
0.019,0.888,0.093,0.9508,Positive
0.054,0.823,0.123,0.9152,Positive
0.047,0.767,0.186,0.9456,Positive
0.0,0.774,0.226,0.7034,Positive
0.0,0.878,0.122,0.875,Positive
0.0,0.84,0.16,0.9042,Positive
0.0,0.918,0.082,0.7096,Positive
0.0,0.805,0.195,0.1779,Positive
0.117,0.591,0.292,0.8126,Positive
0.0,1.0,0.0,0.0,Neutral
0.438,0.562,0.0,-0.5994,Negative
0.0,0.556,0.444,0.4939,Positive
0.069,0.844,0.088,0.1833,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.682,0.318,0.4215,Positive
0.0,0.714,0.286,0.9878,Positive
0.0,0.771,0.229,0.9545,Positive
0.0,0.78,0.22,0.8519,Positive
0.0,1.0,0.0,0.0,Neutral
0.034,0.884,0.082,0.4588,Positive
0.0,0.967,0.033,0.6597,Positive
0.0,0.808,0.192,0.9022,Positive
0.0,0.879,0.121,0.7003,Positive
0.0,0.917,0.083,0.971,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.736,0.264,0.9853,Positive
0.026,0.926,0.048,0.743,Positive
0.059,0.704,0.237,0.9397,Positive
0.0,0.96,0.04,0.3182,Positive
0.073,0.927,0.0,-0.296,Negative
0.0,0.896,0.104,0.9349,Positive
0.0,0.723,0.277,0.8625,Positive
0.0,0.92,0.08,0.8316,Positive
0.0,0.642,0.358,0.5994,Positive
0.0,0.818,0.182,0.9724,Positive
0.047,0.769,0.185,0.9022,Positive
0.0,0.9,0.1,0.743,Positive
0.016,0.854,0.13,0.9337,Positive
0.0,0.761,0.239,0.9403,Positive
0.035,0.91,0.055,0.3915,Positive
0.03,0.792,0.178,0.9842,Positive
0.02,0.841,0.139,0.988,Positive
0.027,0.941,0.033,0.128,Positive
0.011,0.736,0.253,0.99,Positive
0.015,0.883,0.102,0.8779,Positive
0.0,0.885,0.115,0.9697,Positive
0.137,0.787,0.077,-0.4404,Negative
0.0,0.725,0.275,0.8225,Positive
0.0,1.0,0.0,0.0,Neutral
0.024,0.809,0.167,0.9753,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.856,0.144,0.9423,Positive
0.036,0.876,0.088,0.9246,Positive
0.0,0.549,0.451,0.8885,Positive
0.211,0.789,0.0,-0.34,Negative
0.029,0.893,0.078,0.7436,Positive
0.096,0.742,0.162,0.9955,Positive
0.0,0.681,0.319,0.9325,Positive
0.0,0.823,0.177,0.9442,Positive
0.008,0.806,0.185,0.9929,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.677,0.323,0.93,Positive
0.0,1.0,0.0,0.0,Neutral
0.026,0.819,0.155,0.9953,Positive
0.0,0.779,0.221,0.9475,Positive
0.0,0.968,0.032,0.4404,Positive
0.0,0.608,0.392,0.6249,Positive
0.0,1.0,0.0,0.0,Neutral
0.021,0.704,0.276,0.9876,Positive
0.0,0.985,0.015,0.0258,Neutral
0.037,0.756,0.207,0.9918,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.007,0.803,0.19,0.995,Positive
0.0,0.747,0.253,0.967,Positive
0.0,0.684,0.316,0.9838,Positive
0.0,1.0,0.0,0.0,Neutral
0.038,0.783,0.179,0.8591,Positive
0.0,0.803,0.197,0.9908,Positive
0.0,0.824,0.176,0.4939,Positive
0.214,0.703,0.083,-0.9682,Negative
0.062,0.778,0.16,0.9937,Positive
0.235,0.679,0.086,-0.5859,Negative
0.0,0.752,0.248,0.9878,Positive
0.02,0.841,0.138,0.9634,Positive
0.0,0.808,0.192,0.9353,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.709,0.291,0.9895,Positive
0.008,0.88,0.112,0.9723,Positive
0.011,0.861,0.128,0.9678,Positive
0.0,0.739,0.261,0.9349,Positive
0.016,0.91,0.074,0.836,Positive
0.105,0.836,0.058,-0.3818,Negative
0.0,1.0,0.0,0.0,Neutral
0.027,0.884,0.089,0.9025,Positive
0.0,0.939,0.061,0.6399,Positive
0.0,0.864,0.136,0.7184,Positive
0.014,0.843,0.142,0.997,Positive
0.0,0.881,0.119,0.7717,Positive
0.0,0.816,0.184,0.6087,Positive
0.0,0.732,0.268,0.5106,Positive
0.0,0.848,0.152,0.9833,Positive
0.013,0.789,0.197,0.9831,Positive
0.019,0.865,0.115,0.7184,Positive
0.046,0.754,0.199,0.9898,Positive
0.0,0.959,0.041,0.4019,Positive
0.064,0.817,0.119,0.9109,Positive
0.0,0.755,0.245,0.9551,Positive
0.0,0.848,0.152,0.6369,Positive
0.02,0.803,0.177,0.9468,Positive
0.091,0.753,0.156,0.9417,Positive
0.0,0.85,0.15,0.3182,Positive
0.083,0.85,0.067,-0.7351,Negative
0.0,0.948,0.052,0.4404,Positive
0.0,0.96,0.04,0.5267,Positive
0.025,0.7,0.275,0.9628,Positive
0.0,0.925,0.075,0.7579,Positive
0.0,0.819,0.181,0.9485,Positive
0.0,0.765,0.235,0.9681,Positive
0.0,0.75,0.25,0.9938,Positive
0.0,0.849,0.151,0.8746,Positive
0.0,1.0,0.0,0.0,Neutral
0.074,0.926,0.0,-0.2023,Negative
0.0,0.829,0.171,0.8807,Positive
0.049,0.782,0.169,0.8979,Positive
0.0,0.935,0.065,0.4215,Positive
0.0,0.714,0.286,0.8316,Positive
0.016,0.717,0.268,0.9867,Positive
0.0,0.732,0.268,0.995,Positive
0.0,1.0,0.0,0.0,Neutral
0.104,0.736,0.161,0.7964,Positive
0.082,0.82,0.098,0.1027,Positive
0.02,0.859,0.121,0.9604,Positive
0.0,0.858,0.142,0.8442,Positive
0.0,0.769,0.231,0.4019,Positive
0.043,0.882,0.075,0.1531,Positive
0.0,0.845,0.155,0.8553,Positive
0.061,0.767,0.172,0.9509,Positive
0.025,0.861,0.114,0.7845,Positive
0.0,0.605,0.395,0.968,Positive
0.027,0.854,0.119,0.8316,Positive
0.017,0.64,0.343,0.9799,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.757,0.243,0.9403,Positive
0.0,1.0,0.0,0.0,Neutral
0.005,0.857,0.138,0.9818,Positive
0.021,0.887,0.093,0.7184,Positive
0.0,0.841,0.159,0.1531,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.762,0.238,0.3612,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.911,0.089,0.5267,Positive
0.0,0.804,0.196,0.8481,Positive
0.0,0.842,0.158,0.7184,Positive
0.0,0.89,0.11,0.5719,Positive
0.02,0.859,0.121,0.8957,Positive
0.0,0.66,0.34,0.9796,Positive
0.0,0.743,0.257,0.9393,Positive
0.0,0.942,0.058,0.8126,Positive
0.007,0.813,0.179,0.9913,Positive
0.0,0.854,0.146,0.0516,Positive
0.023,0.833,0.144,0.991,Positive
0.015,0.741,0.244,0.9967,Positive
0.007,0.867,0.126,0.9913,Positive
0.0,0.779,0.221,0.1779,Positive
0.013,0.881,0.106,0.9574,Positive
0.0,0.776,0.224,0.8779,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.847,0.153,0.9552,Positive
0.0,0.794,0.206,0.9955,Positive
0.0,1.0,0.0,0.0,Neutral
0.189,0.811,0.0,-0.2732,Negative
0.0,1.0,0.0,0.0,Neutral
0.0,0.802,0.198,0.891,Positive
0.0,0.706,0.294,0.3612,Positive
0.0,1.0,0.0,0.0,Neutral
0.02,0.708,0.272,0.9905,Positive
0.0,0.799,0.201,0.9939,Positive
0.123,0.739,0.138,0.0,Neutral
0.043,0.711,0.246,0.9763,Positive
0.119,0.714,0.167,0.1531,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.018,0.835,0.147,0.9274,Positive
0.029,0.595,0.376,0.9976,Positive
0.038,0.77,0.192,0.993,Positive
0.015,0.91,0.075,0.7783,Positive
0.0,1.0,0.0,0.0,Neutral
0.066,0.825,0.108,0.6312,Positive
0.0,1.0,0.0,0.0,Neutral
0.028,0.865,0.107,0.987,Positive
0.0,1.0,0.0,0.0,Neutral
0.016,0.816,0.168,0.9903,Positive
0.0,0.843,0.157,0.9245,Positive
0.119,0.703,0.178,0.792,Positive
0.0,0.85,0.15,0.5574,Positive
0.0,0.588,0.412,0.4215,Positive
0.0,0.779,0.221,0.9682,Positive
0.075,0.65,0.275,0.9928,Positive
0.0,0.884,0.116,0.8316,Positive
0.0,0.97,0.03,0.25,Positive
0.0,1.0,0.0,0.0,Neutral
0.033,0.85,0.117,0.9082,Positive
0.125,0.796,0.08,-0.0258,Neutral
0.0,0.847,0.153,0.8225,Positive
0.0,0.872,0.128,0.872,Positive
0.018,0.68,0.302,0.9978,Positive
